"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","PclassSex","Surname","Title","Fsize","FsizeName","Favg","Ticket2","Tsize","Group","GroupSize","FarePP","MedianFarePP","FareBins","AgeLM","IsChildP12","NumNA","SumSurvived","AnySurvivors","IsSolo"
892,NA,"3","male",34.5,0,0,"330911",7.8292,"U","Q","P3Male","Kelly","Mr",1,"1Kelly",NA,"3309xx",1,1,"solo",7.8292,7.75,"[ 7.28,  7.92)",34.7540258173294,"No",1,0,"other","Yes"
893,NA,"3","female",47,1,0,"363272",7,"U","S","P3Female","Wilkes","Mrs",2,"2Wilkes",NA,"3632xx",1,2,"duo",7,7.75,"[ 3.17,  7.28)",30.1712880386875,"No",1,0,"other","No"
894,NA,"2","male",62,0,0,"240276",9.6875,"U","Q","P2Male","Myles","Mr",1,"1Myles",NA,"2402xx",1,1,"solo",9.6875,12.35,"[ 7.92, 10.52)",38.220114702622,"No",1,0,"other","Yes"
895,NA,"3","male",27,0,0,"315154",8.6625,"U","S","P3Male","Wirz","Mr",1,"1Wirz",NA,"3151xx",1,1,"solo",8.6625,7.75,"[ 7.92, 10.52)",29.8474778255194,"No",1,0,"other","Yes"
896,NA,"3","female",22,1,1,"3101298",12.2875,"U","S","P3Female","Hirvonen","Mrs",2,"3Hirvonen",2,"31012xx",2,2,"duo",6.14375,7.75,"[ 3.17,  7.28)",30.1976135794916,"No",1,1,"survivors in group","No"
897,NA,"3","male",14,0,0,"7538",9.225,"U","S","P3Male","Svensson","Mr",1,"1Svensson",NA,"75xx",1,1,"solo",9.225,7.75,"[ 7.92, 10.52)",29.8474778255194,"No",1,0,"other","Yes"
898,NA,"3","female",30,0,0,"330972",7.6292,"U","Q","P3Female","Connolly","Miss",1,"1Connolly",NA,"3309xx",1,1,"solo",7.6292,7.75,"[ 7.28,  7.92)",24.4443208710542,"No",1,0,"other","Yes"
899,NA,"2","male",26,1,1,"248738",29,"U","S","P2Male","Caldwell","Mr",3,"3Caldwell",NA,"2487xx",3,3,"group",9.66666666666667,12.35,"[ 7.92, 10.52)",28.6277367369778,"No",1,2,"survivors in group","No"
900,NA,"3","female",18,0,0,"2657",7.2292,"U","C","P3Female","Abrahim","Mrs",1,"1Abrahim",NA,"26xx",1,1,"solo",7.2292,7.75,"[ 3.17,  7.28)",32.2726725246098,"No",1,0,"other","Yes"
901,NA,"3","male",21,2,0,"A/4 48871",24.15,"U","S","P3Male","Davies","Mr",3,"3Davies",NA,"A/4 488xx",3,3,"group",8.05,7.75,"[ 7.92, 10.52)",23.8101166593442,"No",1,0,"other","No"
902,NA,"3","male",29.8474778255194,0,0,"349220",7.8958,"U","S","P3Male","Ilieff","Mr",1,"1Ilieff",NA,"3492xx",1,1,"solo",7.8958,7.75,"[ 7.28,  7.92)",29.8474778255194,"No",1,0,"other","Yes"
903,NA,NA,"male",46,0,0,"694",26,"U","S",NA,"Jones","Mr",1,"1Jones",NA,"6xx",1,1,"solo",26,28.875,"[10.52, 26.39)",NA,"No",1,0,"other","Yes"
904,NA,"1","female",23,1,0,"21228",82.2667,"B","S","P1Female","Snyder","Mrs",2,"2Snyder",NA,"212xx",2,2,"duo",41.13335,30,"[26.39,128.08]",43.9468451353687,"No",2,0,"other","No"
905,NA,"2","male",63,1,0,"24065",26,"U","S","P2Male","Howard","Mr",2,"2Howard",NA,"240xx",2,2,"duo",13,12.35,"[10.52, 26.39)",29.2362966214676,"No",2,0,"other","No"
906,NA,"1","female",47,1,0,"W.E.P. 5734",61.175,"E","S","P1Female","Chaffee","Mrs",2,"2Chaffee",NA,"W.E.P. 57xx",2,2,"duo",30.5875,30,"[26.39,128.08]",43.9468451353687,"No",1,0,"other","No"
907,NA,"2","female",24,1,0,"SC/PARIS 2167",27.7208,"U","C","P2Female","del Carlo","Mrs",2,"2del Carlo",NA,"SC/PARIS 21xx",2,2,"duo",13.8604,12.35,"[10.52, 26.39)",31.661491320558,"No",1,0,"other","No"
908,NA,"2","male",35,0,0,"233734",12.35,"U","Q","P2Male","Keane","Mr",1,"1Keane",NA,"2337xx",1,1,"solo",12.35,12.35,"[10.52, 26.39)",38.220114702622,"No",1,0,"other","Yes"
909,NA,"3","male",21,0,0,"2692",7.225,"U","C","P3Male","Assaf","Mr",1,"1Assaf",NA,"26xx",1,1,"solo",7.225,7.75,"[ 3.17,  7.28)",27.8715922220972,"No",1,0,"other","Yes"
910,NA,"3","female",27,1,0,"STON/O2. 3101270",7.925,"U","S","P3Female","Ilmakangas","Miss",2,"2Ilmakangas",NA,"STON/O2. 31012xx",1,2,"duo",7.925,7.75,"[ 7.92, 10.52)",15.4605027898997,"No",1,0,"other","No"
911,NA,"3","female",45,0,0,"2696",7.225,"U","C","P3Female","Assaf Khalil","Mrs",1,"1Assaf Khalil",NA,"26xx",1,1,"solo",7.225,7.75,"[ 3.17,  7.28)",32.2726725246098,"No",1,0,"other","Yes"
912,NA,NA,"male",55,1,0,"PC 17603",59.4,"U","C",NA,"Rothschild","Mr",2,"2Rothschild",NA,"PC 176xx",2,2,"duo",29.7,28.875,"[26.39,128.08]",NA,"No",1,1,"survivors in group","No"
913,NA,"3","male",9,0,1,"C 17368",3.1708,"U","S","P3Male","Olsen","Master",2,"2Olsen",NA,"C 173xx",1,2,"duo",3.1708,7.75,"[ 3.17,  7.28)",6.6759638455053,"No",1,0,"other","Yes"
914,NA,"1","female",48.0241152247131,0,0,"PC 17598",31.6833,"U","S","P1Female","Flegenheim","Mrs",1,"1Flegenheim",NA,"PC 175xx",1,1,"solo",31.6833,30,"[26.39,128.08]",48.0241152247131,"No",1,0,"other","Yes"
915,NA,NA,"male",21,0,1,"PC 17597",61.3792,"U","C",NA,"Williams","Mr",2,"2Williams",NA,"PC 175xx",2,2,"duo",30.6896,28.875,"[26.39,128.08]",NA,"No",1,0,"other","Yes"
916,NA,"1","female",48,1,3,"PC 17608",262.375,"B","C","P1Female","Ryerson","Mrs",5,"5Ryerson",NA,"PC 176xx",7,7,"large group",37.4821428571429,30,"[26.39,128.08]",43.6582589476076,"No",5,2,"survivors in group","No"
917,NA,"3","male",50,1,0,"A/5. 3337",14.5,"U","S","P3Male","Robins","Mr",2,"2Robins",NA,"A/5. 33xx",2,2,"duo",7.25,7.75,"[ 3.17,  7.28)",25.770207736175,"No",1,0,"other","No"
918,NA,"1","female",22,0,1,"113509",61.9792,"B","C","P1Female","Ostby","Miss",2,"2Ostby",NA,"1135xx",2,2,"duo",30.9896,30,"[26.39,128.08]",28.6117054754997,"No",1,0,"other","Yes"
919,NA,"3","male",22.5,0,0,"2698",7.225,"U","C","P3Male","Daher","Mr",1,"1Daher",NA,"26xx",1,1,"solo",7.225,7.75,"[ 3.17,  7.28)",27.8715922220972,"No",1,0,"other","Yes"
920,NA,NA,"male",41,0,0,"113054",30.5,"A","S",NA,"Brady","Mr",1,"1Brady",NA,"1130xx",1,1,"solo",30.5,28.875,"[26.39,128.08]",NA,"No",1,0,"other","Yes"
921,NA,"3","male",21.8342310559221,2,0,"2662",21.6792,"U","C","P3Male","Samaan","Mr",3,"3Samaan",NA,"26xx",3,3,"group",7.2264,7.75,"[ 3.17,  7.28)",21.8342310559221,"No",2,0,"other","No"
922,NA,"2","male",50,1,0,"SC/AH 3085",26,"U","S","P2Male","Louch","Mr",2,"2Louch",NA,"SC/AH 30xx",2,2,"duo",13,12.35,"[10.52, 26.39)",29.2362966214676,"No",1,1,"survivors in group","No"
923,NA,"2","male",24,2,0,"C.A. 31029",31.5,"U","S","P2Male","Jefferys","Mr",3,"3Jefferys",3,"C.A. 310xx",3,3,"group",10.5,12.35,"[ 7.92, 10.52)",27.2762055446369,"No",3,0,"other","No"
924,NA,"3","female",33,1,2,"C.A. 2315",20.575,"U","S","P3Female","Dean","Mrs",4,"4Dean",NA,"C.A. 23xx",4,4,"group",5.14375,7.75,"[ 3.17,  7.28)",29.5890536950018,"No",2,1,"survivors in group","No"
925,NA,"3","female",29.5890536950018,1,2,"W./C. 6607",23.45,"U","S","P3Female","Johnston","Mrs",4,"4Johnston",NA,"W./C. 66xx",4,4,"group",5.8625,7.75,"[ 3.17,  7.28)",29.5890536950018,"No",2,0,"other","No"
926,NA,NA,"male",30,1,0,"13236",57.75,"C","C",NA,"Mock","Mr",2,"2Mock",NA,"132xx",2,2,"duo",28.875,28.875,"[26.39,128.08]",NA,"No",2,0,"other","No"
927,NA,"3","male",18.5,0,0,"2682",7.2292,"U","C","P3Male","Katavelas","Mr",1,"1Katavelas",NA,"26xx",1,1,"solo",7.2292,7.75,"[ 3.17,  7.28)",27.8715922220972,"No",1,0,"other","Yes"
928,NA,"3","female",19.5377728792442,0,0,"342712",8.05,"U","S","P3Female","Roth","Miss",1,"1Roth",NA,"3427xx",1,1,"solo",8.05,7.75,"[ 7.92, 10.52)",19.5377728792442,"No",1,0,"other","Yes"
929,NA,"3","female",21,0,0,"315087",8.6625,"U","S","P3Female","Cacic","Miss",4,"1Cacic",NA,"3150xx",1,4,"group",8.6625,7.75,"[ 7.92, 10.52)",16.1508230161429,"No",1,0,"other","Yes"
930,NA,"3","male",25,0,0,"345768",9.5,"U","S","P3Male","Sap","Mr",1,"1Sap",NA,"3457xx",1,1,"solo",9.5,7.75,"[ 7.92, 10.52)",29.8474778255194,"No",1,0,"other","Yes"
931,NA,"3","male",28.7037361809609,0,0,"1601",56.4958,"U","S","P3Male","Hee","Mr",1,"1Hee",NA,"16xx",8,8,"large group",7.061975,7.75,"[ 3.17,  7.28)",28.7037361809609,"No",1,5,"survivors in group","Yes"
932,NA,"3","male",39,0,1,"349256",13.4167,"U","C","P3Male","Karun","Mr",2,"2Karun",NA,"3492xx",2,2,"duo",6.70835,7.75,"[ 3.17,  7.28)",25.1458533250938,"No",1,1,"survivors in group","Yes"
933,NA,NA,"male",NA,0,0,"113778",26.55,"D","S",NA,"Franklin","Mr",1,"1Franklin",NA,"1137xx",1,1,"solo",26.55,28.875,"[26.39,128.08]",NA,"No",1,0,"other","Yes"
934,NA,"3","male",41,0,0,"SOTON/O.Q. 3101263",7.85,"U","S","P3Male","Goldsmith","Mr",1,"1Goldsmith",NA,"SOTON/O.Q. 31012xx",1,1,"solo",7.85,7.75,"[ 7.28,  7.92)",29.8474778255194,"No",1,0,"other","Yes"
935,NA,"2","female",30,0,0,"237249",13,"U","S","P2Female","Corbett","Mrs",1,"1Corbett",NA,"2372xx",1,1,"solo",13,12.35,"[10.52, 26.39)",37.7146470133246,"No",1,0,"other","Yes"
936,NA,"1","female",45,1,0,"11753",52.5542,"D","S","P1Female","Kimball","Mrs",2,"2Kimball",NA,"117xx",2,2,"duo",26.2771,30,"[10.52, 26.39)",43.9468451353687,"No",1,1,"survivors in group","No"
937,NA,"3","male",25,0,0,"STON/O 2. 3101291",7.925,"U","S","P3Male","Peltomaki","Mr",1,"1Peltomaki",NA,"STON/O 2. 31012xx",1,1,"solo",7.925,7.75,"[ 7.92, 10.52)",29.8474778255194,"No",1,0,"other","Yes"
938,NA,NA,"male",45,0,0,"PC 17594",29.7,"A","C",NA,"Chevre","Mr",1,"1Chevre",NA,"PC 175xx",1,1,"solo",29.7,28.875,"[26.39,128.08]",NA,"No",1,0,"other","Yes"
939,NA,"3","male",34.7540258173294,0,0,"370374",7.75,"U","Q","P3Male","Shaughnessy","Mr",1,"1Shaughnessy",NA,"3703xx",1,1,"solo",7.75,7.75,"[ 7.28,  7.92)",34.7540258173294,"No",1,0,"other","Yes"
940,NA,"1","female",60,0,0,"11813",76.2917,"D","C","P1Female","Bucknell","Mrs",1,"1Bucknell",NA,"118xx",2,2,"duo",38.14585,30,"[26.39,128.08]",43.2961651834835,"No",1,1,"survivors in group","Yes"
