"PassengerId","Survived","Pclass","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked","PclassSex","Surname","Title","Fsize","FsizeName","Favg","Ticket2","Tsize","Group","GroupSize","FarePP","MedianFarePP","FareBins","AgeLM","IsChildP12","NumNA","SumSurvived","AnySurvivors","IsSolo"
1,"0","3","male",22,1,0,"A/5 21171",7.25,"U","S","P3Male","Braund","Mr",2,"2Braund",NA,"A/5 211xx",1,2,"duo",7.25,7.75,"[ 3.17,  7.28)",25.770207736175,"No",0,0,"other","No"
2,"1","1","female",38,1,0,"PC 17599",71.2833,"C","C","P1Female","Cumings","Mrs",2,"2Cumings",NA,"PC 175xx",2,2,"duo",35.64165,30,"[26.39,128.08]",41.9709595319465,"No",1,1,"survivors in group","No"
3,"1","3","female",26,0,0,"STON/O2. 3101282",7.925,"U","S","P3Female","Heikkinen","Miss",1,"1Heikkinen",NA,"STON/O2. 31012xx",1,1,"solo",7.925,7.75,"[ 7.92, 10.52)",19.5377728792442,"No",0,1,"other","Yes"
4,"1","1","female",35,1,0,"113803",53.1,"C","S","P1Female","Futrelle","Mrs",2,"2Futrelle",NA,"1138xx",2,2,"duo",26.55,30,"[26.39,128.08]",43.9468451353687,"No",0,1,"survivors in group","No"
5,"0","3","male",35,0,0,"373450",8.05,"U","S","P3Male","Allen","Mr",1,"1Allen",NA,"3734xx",1,1,"solo",8.05,7.75,"[ 7.92, 10.52)",29.8474778255194,"No",0,0,"other","Yes"
6,"0","3","male",34.7540258173294,0,0,"330877",8.4583,"U","Q","P3Male","Moran","Mr",1,"1Moran",NA,"3308xx",1,1,"solo",8.4583,7.75,"[ 7.92, 10.52)",34.7540258173294,"No",0,0,"other","Yes"
7,"0",NA,"male",54,0,0,"17463",51.8625,"E","S",NA,"McCarthy","Mr",1,"1McCarthy",NA,"174xx",2,2,"duo",25.93125,28.875,"[10.52, 26.39)",NA,"No",1,0,"other","Yes"
8,"0","3","male",2,3,1,"349909",21.075,"U","S","P3Male","Palsson","Master",5,"5Palsson",NA,"3499xx",5,5,"large group",4.215,7.75,"[ 3.17,  7.28)",4.30866968414349,"No",1,0,"other","No"
9,"1","3","female",27,0,2,"347742",11.1333,"U","S","P3Female","Johnson","Mrs",3,"3Johnson",NA,"3477xx",3,3,"group",3.7111,7.75,"[ 3.17,  7.28)",30.9142593465387,"No",0,3,"survivors in group","Yes"
10,"1","2","female",14,1,0,"237736",30.0708,"U","C","P2Female","Nasser","Mrs",2,"2Nasser",NA,"2377xx",2,2,"duo",15.0354,12.35,"[10.52, 26.39)",31.661491320558,"Yes",0,1,"survivors in group","No"
11,"1","3","female",4,1,1,"PP 9549",16.7,"G","S","P3Female","Sandstrom","Miss",3,"3Sandstrom",NA,"PP 95xx",3,3,"group",5.56666666666667,7.75,"[ 3.17,  7.28)",14.85194290541,"No",1,2,"survivors in group","No"
12,"1","1","female",58,0,0,"113783",26.55,"C","S","P1Female","Bonnell","Miss",1,"1Bonnell",NA,"1137xx",1,1,"solo",26.55,30,"[26.39,128.08]",33.3133299759253,"No",0,1,"other","Yes"
13,"0","3","male",20,0,0,"A/5. 2151",8.05,"U","S","P3Male","Saundercock","Mr",1,"1Saundercock",NA,"A/5. 21xx",1,1,"solo",8.05,7.75,"[ 7.92, 10.52)",29.8474778255194,"No",0,0,"other","Yes"
14,"0","3","male",39,1,5,"347082",31.275,"U","S","P3Male","Andersson","Mr",7,"7Andersson",NA,"3470xx",7,7,"large group",4.46785714285714,7.75,"[ 3.17,  7.28)",27.510158233444,"No",0,0,"other","No"
15,"0","3","female",14,0,0,"350406",7.8542,"U","S","P3Female","Vestrom","Miss",1,"1Vestrom",NA,"3504xx",1,1,"solo",7.8542,7.75,"[ 7.28,  7.92)",19.5377728792442,"No",0,0,"other","Yes"
16,"1","2","female",55,0,0,"248706",16,"U","S","P2Female","Hewlett","Mrs",1,"1Hewlett",NA,"2487xx",1,1,"solo",16,12.35,"[10.52, 26.39)",37.7146470133246,"No",0,1,"other","Yes"
17,"0","3","male",2,4,1,"382652",29.125,"U","Q","P3Male","Rice","Master",6,"6Rice",NA,"3826xx",6,6,"large group",4.85416666666667,7.75,"[ 3.17,  7.28)",7.89001202441654,"No",1,0,"other","No"
18,"1","2","male",33.313566710812,0,0,"244373",13,"U","S","P2Male","Williams","Mr",1,"1Williams",NA,"2443xx",1,1,"solo",13,12.35,"[10.52, 26.39)",33.313566710812,"No",0,1,"other","Yes"
19,"0","3","female",31,1,0,"345763",18,"U","S","P3Female","Vander Planke","Mrs",3,"2Vander Planke",3,"3457xx",2,3,"group",9,7.75,"[ 7.92, 10.52)",29.5364026133938,"No",1,0,"other","No"
